"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"NE","3","R","M","S001172","20729",18,0.987823019914093,0.859671366235428,1.11202225090802,"Smith (R NE-3)",362,"Adrian","Smith"
"FL","19","R","M","R000596", ,498,0.991806817702726,0.831140548275127,1.14324900751116,"Radel (R FL-19)",363,"Trey","Radel"
"IL","14","R","M","H001059", ,16,0.992733162407558,0.870086580326116,1.11866384838407,"Hultgren (R IL-14)",364,"Randy","Hultgren"
"TX","10","R","M","M001157","20530",28,0.993635950374411,0.853916279437258,1.11540760234185,"McCaul (R TX-10)",365,"Michael","McCaul"
"WI","1","R","M","R000570","29939",6,0.99509717746141,0.865995394780253,1.10947384592598,"Ryan (R WI-1)",366,"Paul","Ryan"
"CA","39","R","M","R000487","29321",28,0.995746318739015,0.873489196900374,1.12414914335493,"Royce (R CA-39)",367,"Ed","Royce"
"GA","11","R","M","G000550","20319",122,1.00003301264649,0.878199426545779,1.1319885105951,"Gingrey (R GA-11)",368,"Phil","Gingrey"
"OK","2","R","M","M001190", ,27,1.00559572497783,0.879534247398271,1.12912003541201,"Mullin (R OK-2)",369,"Markwayne","Mullin"
"SC","7","R","M","R000597", ,25,1.00949155376978,0.885978533650325,1.14193884462154,"Rice (R SC-7)",370,"Tom","Rice"
"AZ","4","R","M","G000565", ,161,1.01051488173438,0.881679207254729,1.13537736905139,"Gosar (R AZ-4)",371,"Paul","Gosar"
"CA","4","R","M","M001177", ,13,1.01473300080893,0.890869297144768,1.14477145195924,"McClintock (R CA-4)",372,"Tom","McClintock"
"TX","21","R","M","S000583","15445",24,1.01678052365938,0.884933975383107,1.14367967983697,"Smith (R TX-21)",373,"Lamar","Smith"
"VA","5","R","M","H001060", ,31,1.03108081844281,0.899910011770248,1.16670302711673,"Hurt (R VA-5)",374,"Robert","Hurt"
"FL","3","R","M","Y000065", ,9,1.03771286383875,0.917659403409614,1.16663809610948,"Yoho (R FL-3)",375,"Ted","Yoho"
"OH","2","R","M","W000815", ,15,1.04989852195244,0.922837793676833,1.17908127209623,"Wenstrup (R OH-2)",376,"Brad","Wenstrup"
"GA","7","R","M","W000810", ,16,1.05460177761859,0.93197270719578,1.18376689871898,"Woodall (R GA-7)",377,"Rob","Woodall"
"FL","1","R","M","M001144","20110",58,1.05525485869276,0.921452954090492,1.19164629526448,"Miller (R FL-1)",378,"Jeff","Miller"
"IN","6","R","M","M001189", ,22,1.05556427802285,0.919711900753298,1.18546424259389,"Messer (R IN-6)",379,"Luke","Messer"
"MD","1","R","M","H001052", ,12,1.05843684522222,0.936448083815722,1.20108234208205,"Harris (R MD-1)",380,"Andy","Harris"
"SC","5","R","M","M001182", ,49,1.06019495359094,0.93540469489391,1.19750028142329,"Mulvaney (R SC-5)",381,"Mick","Mulvaney"
"AZ","5","R","M","S000018","29500",39,1.06189364817713,0.927119928581252,1.1916327595001,"Salmon (R AZ-5)",382,"Matt","Salmon"
"PA","4","R","M","P000605", ,10,1.06355681332131,0.925713729686403,1.18617151404054,"Perry (R PA-4)",383,"Scott","Perry"
"NJ","5","R","M","G000548","20336",15,1.07237532410442,0.937480676815044,1.20536052945135,"Garrett (R NJ-5)",384,"Scott","Garrett"
"OH","5","R","M","L000566","20755",6,1.07324026757184,0.931752104904933,1.19878075462608,"Latta (R OH-5)",385,"Robert","Latta"
"MI","11","R","M","B001280", ,9,1.07363497333537,0.942699640597929,1.21771928375037,"Bentivolio (R MI-11)",386,"Kerry","Bentivolio"
"MI","7","R","M","W000798","20725",22,1.07644046069969,0.934357192273868,1.20999199920534,"Walberg (R MI-7)",387,"Tim","Walberg"
"TX","32","R","M","S000250","29759",14,1.08269067783756,0.943428997151924,1.23074306343467,"Sessions (R TX-32)",388,"Pete","Sessions"
"TX","8","R","M","B000755","29760",46,1.08690637712176,0.947395874440533,1.23272346928052,"Brady (R TX-8)",389,"Kevin","Brady"
"GA","8","R","M","S001189", ,20,1.08974593261074,0.958140221031977,1.23749481457906,"Scott (R GA-8)",390,"Austin","Scott"
"TN","8","R","M","F000458", ,56,1.09200032324132,0.96153409821745,1.23749621085679,"Fincher (R TN-8)",391,"Stephen","Fincher"
"OK","5","R","M","L000575", ,115,1.09245646574101,0.952498867018653,1.23461816357716,"Lankford (R OK-5)",392,"James","Lankford"
"TN","4","R","M","D000616", ,97,1.0927273749054,0.946745471328165,1.23925087465559,"DesJarlais (R TN-4)",393,"Scott","DesJarlais"
